provider_id,provider_name,npi,dea,specialty_concept_id,care_site_id,year_of_birth,gender_concept_id,provider_source_value,specialty_source_value,specialty_source_concept_id,gender_source_value,gender_source_concept_id
53031774525400,Brandon|Giullian,,,0,,,,,,,,
4411385516171575,KEALANI|SINE,1194949354,,0,,,,,,,,
1265171882995524,AMY|SITAPATI,1730261975,,0,,,,,,,,
4421771322348064,STEPHEN|LEE,1538261805,,0,,,,,,,,
1545877651453587,NISA|ATIGAPRAMOJ,1982993069,,0,,,,,,,,
2509527837764620,SAMUEL|CARLTON,1437156866,,0,,,,,,,,
237451318455542,MICHAEL|DUFFY,1689635328,,0,,,,,,,,
3579001957952881,Harminder|Kaur,,,0,,,,,,,,
10837903941343,AMY|HAGEN,,,0,,,,,,,,
1272195531106309,Josalyn|Boyles,,,0,,,,,,,,
369296144938561,Ashley|Zervic,,,0,,,,,,,,
2237879909504869,Michael|Malik,,,0,,,,,,,,
391868894770997,AARON|STAVINOHA,,,0,,,,,,,,
3217757414832531,Cristina|Rodriguez,,,0,,,,,,,,
1302317907236786,David|Cryns,,,0,,,,,,,,
4411385516171575,KEALANI|SINE,1194949354,,0,,,,,,,,
1265171882995524,AMY|SITAPATI,1730261975,,0,,,,,,,,
4421771322348064,STEPHEN|LEE,1538261805,,0,,,,,,,,
1545877651453587,NISA|ATIGAPRAMOJ,1982993069,,0,,,,,,,,
2509527837764620,SAMUEL|CARLTON,1437156866,,0,,,,,,,,
237451318455542,MICHAEL|DUFFY,1689635328,,0,,,,,,,,
3579001957952881,Harminder|Kaur,,,0,,,,,,,,
10837903941343,AMY|HAGEN,,,0,,,,,,,,
1272195531106309,Josalyn|Boyles,,,0,,,,,,,,
369296144938561,Ashley|Zervic,,,0,,,,,,,,
4172652080617567,Michael|Malik,,,0,,,,,,,,
4026704349556222,AARON|STAVINOHA,,,0,,,,,,,,
3217757414832531,Cristina|Rodriguez,,,0,,,,,,,,
1302317907236786,David|Cryns,,,0,,,,,,,,
